Track file,C:\docs\ethovision\031202-1er-test-rat_0001\data\track_00521.trk
Object,0
Samples,619
WaterTemp,22,°C
RoomTemp,20.5,°C
New Label,,
New Label,,
Status,Acquired,
Trial duration,0000:00:00:49.520,dd:HH:mm:ss
Tracking profile,Tracking profile,
Arena,Piscine,
Track file,track_00521.trk,
Object,0,
Arena profile,Arena profile,
Start date & time,2006-02-20 10:34:21.640,yyyy-MM-dd HH:mm:ss
Stop date & time,2006-02-20 10:35:11.160,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,0,
Mobility high,0,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [Zone Definition 2],ZONES [Zone Definition 3],Distance to zone [Arena],Distance moved,Velocity,Heading
1,0.00,208.10,56.54,635.00,E,Ext,Zone 1,0.00,-,-,-
2,0.08,210.15,58.92,472.00,E,Ext,Zone 1,0.00,3.14,39.25,139.40
3,0.16,212.19,59.94,393.00,E,Ext,Zone 1,0.00,2.28,28.56,116.57
4,0.24,212.87,59.94,329.00,E,Ext,Zone 1,0.00,0.68,8.51,90.00
5,0.32,213.21,59.26,286.00,E,Ext,Zone 1,0.00,0.76,9.52,26.57
6,0.40,213.21,59.26,260.00,E,Ext,Zone 1,0.00,0.00,0.00,-
7,0.48,213.21,59.26,208.00,E,Ext,Zone 1,0.00,0.00,0.00,-
8,0.56,213.55,59.60,155.00,E,Ext,Zone 1,0.00,0.48,6.02,135.00
9,0.64,213.21,59.26,132.00,E,Ext,Zone 1,0.00,0.48,6.02,315.00
10,0.72,212.53,60.28,123.00,E,Ext,Zone 1,0.00,1.23,15.35,213.69
11,0.80,211.51,61.99,102.00,E,Ext,Zone 1,0.00,1.99,24.82,210.96
12,0.88,210.49,63.69,89.00,E,Mid,Zone 1,0.00,1.99,24.82,210.96
13,0.96,208.78,65.05,85.00,E,Mid,Zone 1,0.00,2.18,27.26,231.34
14,1.04,206.74,66.42,95.00,E,Mid,Zone 1,0.00,2.46,30.70,236.31
15,1.12,205.38,66.07,172.00,E,Mid,Zone 1,0.00,1.40,17.55,284.04
16,1.20,205.04,66.07,225.00,E,Mid,Zone 1,0.00,0.34,4.26,270.00
17,1.28,203.67,66.42,270.00,E,Mid,Zone 1,0.00,1.40,17.55,255.96
18,1.36,203.33,66.42,364.00,E,Mid,Zone 1,0.00,0.34,4.26,270.00
19,1.44,202.65,66.76,423.00,E,Mid,Zone 1,0.00,0.76,9.52,243.43
20,1.52,201.63,67.10,499.00,E,Mid,Zone 1,0.00,1.08,13.46,251.57
21,1.60,200.61,67.44,534.00,E,Mid,Zone 1,0.00,1.08,13.46,251.57
22,1.68,199.25,68.12,596.00,E,Mid,Zone 1,0.00,1.52,19.04,243.43
23,1.76,197.88,68.80,633.00,E,Mid,Zone 1,0.00,1.52,19.04,243.43
24,1.84,196.18,68.80,633.00,E,Mid,Zone 1,0.00,1.70,21.29,270.00
25,1.92,194.48,68.80,595.00,E,Mid,Zone 1,0.00,1.70,21.29,270.00
26,2.00,191.75,68.12,568.00,E,Mid,Zone 1,0.00,2.81,35.11,284.04
27,2.08,189.71,67.44,602.00,E,Center,Zone 1,0.00,2.15,26.93,288.43
28,2.16,187.33,66.76,594.00,E,Center,Zone 1,0.00,2.48,30.99,285.95
29,2.24,185.28,65.73,585.00,E,Center,Zone 1,0.00,2.28,28.56,296.57
30,2.32,183.24,64.37,582.00,E,Center,Zone 1,0.00,2.46,30.70,303.69
31,2.40,181.54,62.67,583.00,E,Center,Zone 1,0.00,2.41,30.10,315.00
32,2.48,179.15,60.97,589.00,E,Center,Zone 1,0.00,2.93,36.62,305.54
33,2.56,177.45,59.26,608.00,E,Center,Zone 1,0.00,2.41,30.10,315.00
34,2.64,176.09,57.56,621.00,E,Center,Zone 1,0.00,2.18,27.26,321.34
35,2.72,174.04,55.86,629.00,E,Center,Zone 1,0.00,2.66,33.25,309.81
